Number;Start time in milliseconds;End time in milliseconds;"Text"
1;0;114102;"DO_NOT_USE"
2;114102;334103;"walking"
3;334103;362107;"DO_NOT_USE"
4;362107;610103;"walking"
5;610103;638102;"DO_NOT_USE"
6;638102;749107;"standing"
7;749107;754108;"DO_NOT_USE"
8;754108;877608;"standing"
9;877608;908111;"DO_NOT_USE"
10;908111;1022113;"standing"
11;1022113;1032111;"DO_NOT_USE"
12;1032111;1138115;"standing"
13;1138115;1171110;"DO_NOT_USE"
14;1171110;1298609;"sitting"
15;1298609;1305609;"DO_NOT_USE"
16;1305609;1404111;"sitting"
17;1404111;1441116;"DO_NOT_USE"
18;1441116;1553611;"sitting"
19;1553611;1559611;"DO_NOT_USE"
20;1559611;1669622;"sitting"
21;1669622;1711612;"DO_NOT_USE"
22;1711612;1817115;"laying down"
23;1817115;1827614;"DO_NOT_USE"
24;1827614;1937113;"laying down"
25;1937113;1967613;"DO_NOT_USE"
26;1967613;2093118;"laying down"
27;2093118;2098618;"DO_NOT_USE"
28;2098618;2196115;"laying down"
29;2196115;2219614;"DO_NOT_USE"
