Number;Start time in milliseconds;End time in milliseconds;"Text"
1;0;158594;"DO_NOT_USE"
2;158594;407606;"walking"
3;407606;430608;"DO_NOT_USE"
4;430608;674627;"walking"
5;674627;700125;"DO_NOT_USE"
6;700125;811592;"standing"
7;811592;817592;"DO_NOT_USE"
8;817592;930596;"standing"
9;930596;959598;"DO_NOT_USE"
10;959598;1076606;"standing"
11;1076606;1083606;"DO_NOT_USE"
12;1083606;1196615;"standing"
13;1196615;1225114;"DO_NOT_USE"
14;1225114;1348623;"sitting"
15;1348623;1355126;"DO_NOT_USE"
16;1355126;1475127;"sitting"
17;1475127;1510631;"DO_NOT_USE"
18;1510631;1615596;"sitting"
19;1615596;1621096;"DO_NOT_USE"
20;1621096;1737099;"sitting"
21;1737099;1766102;"DO_NOT_USE"
22;1766102;1884614;"laying down"
23;1884614;1893614;"DO_NOT_USE"
24;1893614;2017619;"laying down"
25;2017619;2051121;"DO_NOT_USE"
26;2051121;2163127;"laying down"
27;2163127;2175125;"DO_NOT_USE"
28;2175125;2283592;"laying down"
29;2283592;2312093;"DO_NOT_USE"
